Innovation Award 2015,Bitzesty
Financial year dates,01/01/2011,01/01/2012,1/1/2013,01/01/2014,02/1/2015
Number of people employed,10,20,30,40,50
Total turnover,100000,100000,100000,100000,100000
Exports,10000,10000,10000,10000,10000
Net profit after tax but before dividends,20000,20000,20000,20000,20000
Total net assets,30000,30000,30000,30000,30000
Number of innovative units/contracts sold,5,6,7,8,9
Sales of innovative product/service,10,11,12,13,14
Sales exports,10,10,10,10,10
Sales royalties or licenses,10,10,10,10,10
Average unit selling price/contract value,10,10,10,10,10
Direct cost of a single unit/contract,10,10,10,10,10
